PERFUME_ID,SEASON,ratio,LOAD_DT
8590,Fall,34.43,2026-01-20 08:39:39
8590,Winter,30.24,2026-01-20 08:39:39
8590,Spring,24.25,2026-01-20 08:39:39
8592,Spring,37.33,2026-01-20 08:39:39
8592,Summer,28.0,2026-01-20 08:39:39
8592,Fall,24.0,2026-01-20 08:39:39
8594,Spring,32.54,2026-01-20 08:39:39
8594,Summer,26.61,2026-01-20 08:39:39
8594,Fall,26.44,2026-01-20 08:39:39
8596,Summer,55.56,2026-01-20 08:39:39
8596,Spring,40.0,2026-01-20 08:39:39
8598,Spring,32.75,2026-01-20 08:39:39
8598,Summer,28.05,2026-01-20 08:39:39
8598,Fall,24.04,2026-01-20 08:39:39
8602,Spring,33.92,2026-01-20 08:39:39
8602,Fall,27.49,2026-01-20 08:39:39
8610,Spring,30.67,2026-01-20 08:39:39
8610,Fall,29.33,2026-01-20 08:39:39
8610,Winter,21.33,2026-01-20 08:39:39
8614,Fall,29.28,2026-01-20 08:39:39
8614,Winter,26.7,2026-01-20 08:39:39
8614,Spring,26.52,2026-01-20 08:39:39
8615,Spring,37.04,2026-01-20 08:39:39
8615,Summer,35.19,2026-01-20 08:39:39
8618,Spring,35.29,2026-01-20 08:39:39
8618,Fall,25.88,2026-01-20 08:39:39
8618,Summer,25.88,2026-01-20 08:39:39
8619,Spring,37.74,2026-01-20 08:39:39
8619,Summer,35.34,2026-01-20 08:39:39
8622,Fall,34.39,2026-01-20 08:39:39
8622,Winter,28.45,2026-01-20 08:39:39
8622,Spring,25.27,2026-01-20 08:39:39
8623,Spring,35.59,2026-01-20 08:39:39
8623,Summer,27.12,2026-01-20 08:39:39
8623,Fall,25.42,2026-01-20 08:39:39
8626,Spring,32.91,2026-01-20 08:39:39
8626,Summer,30.38,2026-01-20 08:39:39
8626,Fall,26.58,2026-01-20 08:39:39
8627,Summer,46.88,2026-01-20 08:39:39
8627,Spring,41.9,2026-01-20 08:39:39
8630,Summer,50.82,2026-01-20 08:39:39
8630,Spring,44.26,2026-01-20 08:39:39
8631,Fall,31.16,2026-01-20 08:39:39
8631,Spring,27.54,2026-01-20 08:39:39
8631,Winter,24.4,2026-01-20 08:39:39
8634,Spring,40.62,2026-01-20 08:39:39
8634,Summer,31.25,2026-01-20 08:39:39
8635,Fall,33.72,2026-01-20 08:39:39
8635,Winter,30.93,2026-01-20 08:39:39
8635,Spring,22.56,2026-01-20 08:39:39
8638,Spring,40.74,2026-01-20 08:39:39
8638,Summer,38.89,2026-01-20 08:39:39
8638,Fall,20.37,2026-01-20 08:39:39
8641,Spring,31.46,2026-01-20 08:39:39
8641,Fall,27.42,2026-01-20 08:39:39
8641,Summer,24.49,2026-01-20 08:39:39
8642,Spring,32.2,2026-01-20 08:39:39
8642,Fall,28.81,2026-01-20 08:39:39
8642,Summer,23.73,2026-01-20 08:39:39
8645,Summer,44.35,2026-01-20 08:39:39
